[2025-08-23 21:27:13] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 6.25, "T3_C": 18, "T4_C": 1.025, "T5_C": 1.14, "T6_C": 4.62, "T7_C": 1.955, "T8_C": 1.848, "T9_C": 1.85, "T10_C": 1.95, "T11_C": 2.02, "T12_C": 1.792, "T13_C": 2.096, "T14_C": 1.74}
[2025-08-23 21:32:53] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 6.25, "T3_C": 18, "T4_C": 1.025, "T5_C": 1.14, "T6_C": 4.62, "T7_C": 1.955, "T8_C": 1.848, "T9_C": 1.85, "T10_C": 1.95, "T11_C": 2.02, "T12_C": 1.792, "T13_C": 2.045, "T14_C": 1.775}
[2025-08-23 21:33:14] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 6.25, "T3_C": 18, "T4_C": 1.025, "T5_C": 1.14, "T6_C": 4.62, "T7_C": 1.955, "T8_C": 1.848, "T9_C": 1.85, "T10_C": 1.95, "T11_C": 2.02, "T12_C": 1.792, "T13_C": 2.096, "T14_C": 1.74}
[2025-08-23 21:34:10] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 6.25, "T3_C": 18, "T4_C": 1.025, "T5_C": 1.14, "T6_C": 4.62, "T7_C": 1.955, "T8_C": 1.848, "T9_C": 1.85, "T10_C": 1.95, "T11_C": 2.02, "T12_C": 1.792, "T13_C": 2.045, "T14_C": 1.775}
[2025-08-23 21:34:25] Marseille vs Paris - C Values: {"T1_C": 1.215, "T2_C": 6, "T3_C": 15, "T4_C": 1.035, "T5_C": 1.145, "T6_C": 4.3, "T7_C": 1.98, "T8_C": 1.825, "T9_C": 1.85, "T10_C": 1.95, "T11_C": 2.02, "T12_C": 1.792, "T13_C": 1.95, "T14_C": 1.85}
[2025-08-23 21:35:11] Marseille vs Paris - C Values: {"T1_C": 1.215, "T2_C": 6, "T3_C": 15, "T4_C": 1.035, "T5_C": 1.145, "T6_C": 4.3, "T7_C": 1.98, "T8_C": 1.825, "T9_C": 1.83, "T10_C": 1.975, "T11_C": 2.02, "T12_C": 1.792, "T13_C": 1.95, "T14_C": 1.85}
[2025-08-23 21:36:16] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 6.25, "T3_C": 18, "T4_C": 1.025, "T5_C": 1.14, "T6_C": 4.62, "T7_C": 1.955, "T8_C": 1.848, "T9_C": 1.83, "T10_C": 1.975, "T11_C": 2.02, "T12_C": 1.792, "T13_C": 2.045, "T14_C": 1.775}
[2025-08-23 21:37:33] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 6.25, "T3_C": 18, "T4_C": 1.025, "T5_C": 1.14, "T6_C": 4.62, "T7_C": 1.955, "T8_C": 1.848, "T9_C": 1.83, "T10_C": 1.975, "T11_C": 2, "T12_C": 1.81, "T13_C": 2.045, "T14_C": 1.775}
[2025-08-23 21:37:58] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 6.25, "T3_C": 18, "T4_C": 1.025, "T5_C": 1.14, "T6_C": 4.62, "T7_C": 1.98, "T8_C": 1.825, "T9_C": 1.83, "T10_C": 1.975, "T11_C": 2, "T12_C": 1.81, "T13_C": 2.045, "T14_C": 1.775}
[2025-08-23 21:38:19] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 6.25, "T3_C": 18, "T4_C": 1.025, "T5_C": 1.14, "T6_C": 4.62, "T7_C": 1.98, "T8_C": 1.825, "T9_C": 1.955, "T10_C": 1.848, "T11_C": 2, "T12_C": 1.81, "T13_C": 2.045, "T14_C": 1.775}
[2025-08-23 21:39:04] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 6.25, "T3_C": 18, "T4_C": 1.025, "T5_C": 1.14, "T6_C": 4.62, "T7_C": 1.98, "T8_C": 1.825, "T9_C": 1.955, "T10_C": 1.848, "T11_C": 2, "T12_C": 1.81, "T13_C": 2.136, "T14_C": 1.71}
[2025-08-23 21:39:18] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 6.25, "T3_C": 18, "T4_C": 1.025, "T5_C": 1.14, "T6_C": 4.62, "T7_C": 1.98, "T8_C": 1.825, "T9_C": 1.975, "T10_C": 1.83, "T11_C": 2.02, "T12_C": 1.792, "T13_C": 2.136, "T14_C": 1.71}
[2025-08-23 21:39:37] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 6.25, "T3_C": 18, "T4_C": 1.025, "T5_C": 1.14, "T6_C": 4.62, "T7_C": 1.98, "T8_C": 1.825, "T9_C": 1.975, "T10_C": 1.83, "T11_C": 2.02, "T12_C": 1.792, "T13_C": 2.185, "T14_C": 1.68}
[2025-08-23 21:39:43] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 6.25, "T3_C": 18, "T4_C": 1.025, "T5_C": 1.14, "T6_C": 4.62, "T7_C": 2.02, "T8_C": 1.79, "T9_C": 1.975, "T10_C": 1.83, "T11_C": 2.152, "T12_C": 1.7, "T13_C": 2.185, "T14_C": 1.68}
[2025-08-23 21:40:23] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 6.05, "T3_C": 20, "T4_C": 1.02, "T5_C": 1.144, "T6_C": 4.62, "T7_C": 2.02, "T8_C": 1.79, "T9_C": 2.08, "T10_C": 1.75, "T11_C": 2.152, "T12_C": 1.7, "T13_C": 2.185, "T14_C": 1.68}
[2025-08-23 21:40:50] Marseille vs Paris - C Values: {"T1_C": 1.17, "T2_C": 6.5, "T3_C": 21, "T4_C": 1.016, "T5_C": 1.13, "T6_C": 4.94, "T7_C": 2.02, "T8_C": 1.79, "T9_C": 2.08, "T10_C": 1.75, "T11_C": 2.152, "T12_C": 1.7, "T13_C": 2.256, "T14_C": 1.64}
[2025-08-23 21:41:03] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 6.1, "T3_C": 19, "T4_C": 1.02, "T5_C": 1.144, "T6_C": 4.62, "T7_C": 2.07, "T8_C": 1.752, "T9_C": 2.08, "T10_C": 1.75, "T11_C": 2.29, "T12_C": 1.625, "T13_C": 2.185, "T14_C": 1.68}
[2025-08-23 21:41:38] Marseille vs Paris - C Values: {"T1_C": 1.19, "T2_C": 6.25, "T3_C": 18, "T4_C": 1.025, "T5_C": 1.14, "T6_C": 4.62, "T7_C": 2.07, "T8_C": 1.752, "T9_C": 2.175, "T10_C": 1.685, "T11_C": 2.29, "T12_C": 1.625, "T13_C": 2.185, "T14_C": 1.68}
