[2025-08-23 22:10:30] Genoa vs Lecce - C Values: {"T1_C": 1.92, "T2_C": 3.22, "T3_C": 4.52, "T4_C": 1.22, "T5_C": 1.368, "T6_C": 1.896, "T7_C": 2.78, "T8_C": 1.44, "T9_C": 2.008, "T10_C": 1.8, "T11_C": 1.61, "T12_C": 2.312, "T13_C": 1.845, "T14_C": 1.955, "T180_C": 2.22, "T181_C": 1.66}
[2025-08-23 22:10:37] Genoa vs Lecce - C Values: {"T1_C": 1.92, "T2_C": 3.22, "T3_C": 4.52, "T4_C": 1.22, "T5_C": 1.368, "T6_C": 1.896, "T7_C": 2.78, "T8_C": 1.44, "T9_C": 1.98, "T10_C": 1.825, "T11_C": 1.61, "T12_C": 2.312, "T13_C": 1.77, "T14_C": 2.05, "T180_C": 2.22, "T181_C": 1.66}
[2025-08-23 22:10:43] Genoa vs Lecce - C Values: {"T1_C": 1.92, "T2_C": 3.22, "T3_C": 4.52, "T4_C": 1.22, "T5_C": 1.368, "T6_C": 1.896, "T7_C": 2.78, "T8_C": 1.44, "T9_C": 2.008, "T10_C": 1.8, "T11_C": 1.61, "T12_C": 2.312, "T13_C": 1.77, "T14_C": 2.05, "T180_C": 2.22, "T181_C": 1.66}
[2025-08-23 22:11:14] Genoa vs Lecce - C Values: {"T1_C": 1.92, "T2_C": 3.22, "T3_C": 4.52, "T4_C": 1.22, "T5_C": 1.368, "T6_C": 1.896, "T7_C": 2.78, "T8_C": 1.44, "T9_C": 2.04, "T10_C": 1.775, "T11_C": 1.61, "T12_C": 2.312, "T13_C": 1.845, "T14_C": 1.955, "T180_C": 2.22, "T181_C": 1.66}
[2025-08-23 22:11:20] Genoa vs Lecce - C Values: {"T1_C": 1.955, "T2_C": 3.2, "T3_C": 4.34, "T4_C": 1.235, "T5_C": 1.368, "T6_C": 1.86, "T7_C": 3.025, "T8_C": 1.384, "T9_C": 2.04, "T10_C": 1.775, "T11_C": 1.67, "T12_C": 2.205, "T13_C": 1.77, "T14_C": 2.05, "T180_C": 2.22, "T181_C": 1.66}
[2025-08-23 22:11:26] Genoa vs Lecce - C Values: {"T1_C": 1.975, "T2_C": 3.136, "T3_C": 4.38, "T4_C": 1.23, "T5_C": 1.38, "T6_C": 1.845, "T7_C": 3.025, "T8_C": 1.384, "T9_C": 2.11, "T10_C": 1.73, "T11_C": 1.67, "T12_C": 2.205, "T13_C": 1.845, "T14_C": 1.955, "T180_C": 2.33, "T181_C": 1.605}
[2025-08-23 22:11:56] Genoa vs Lecce - C Values: {"T1_C": 1.975, "T2_C": 3.136, "T3_C": 4.38, "T4_C": 1.23, "T5_C": 1.38, "T6_C": 1.845, "T7_C": 3.025, "T8_C": 1.384, "T9_C": 2.184, "T10_C": 1.68, "T11_C": 1.67, "T12_C": 2.205, "T13_C": 1.845, "T14_C": 1.955, "T180_C": 2.33, "T181_C": 1.605}
[2025-08-23 22:12:14] Genoa vs Lecce - C Values: {"T1_C": 1.975, "T2_C": 3.136, "T3_C": 4.38, "T4_C": 1.23, "T5_C": 1.38, "T6_C": 1.845, "T7_C": 3.025, "T8_C": 1.384, "T9_C": 2.184, "T10_C": 1.68, "T11_C": 1.67, "T12_C": 2.205, "T13_C": 1.77, "T14_C": 2.05, "T180_C": 2.33, "T181_C": 1.605}
[2025-08-23 22:12:33] Genoa vs Lecce - C Values: {"T1_C": 1.975, "T2_C": 3.136, "T3_C": 4.38, "T4_C": 1.23, "T5_C": 1.38, "T6_C": 1.845, "T7_C": 1.4, "T8_C": 2.94, "T9_C": 2.184, "T10_C": 1.68, "T11_C": 1.67, "T12_C": 2.205, "T13_C": 1.77, "T14_C": 2.05, "T180_C": 2.33, "T181_C": 1.605}
[2025-08-23 22:12:52] Genoa vs Lecce - C Values: {"T1_C": 1.975, "T2_C": 3.136, "T3_C": 4.38, "T4_C": 1.23, "T5_C": 1.38, "T6_C": 1.845, "T7_C": 3.025, "T8_C": 1.384, "T9_C": 2.23, "T10_C": 1.656, "T11_C": 1.744, "T12_C": 2.09, "T13_C": 1.845, "T14_C": 1.955, "T180_C": 2.33, "T181_C": 1.605}
[2025-08-23 22:13:04] Genoa vs Lecce - C Values: {"T1_C": 2.064, "T2_C": 3.125, "T3_C": 4.02, "T4_C": 1.26, "T5_C": 1.384, "T6_C": 1.775, "T7_C": 1.464, "T8_C": 2.704, "T9_C": 2.11, "T10_C": 1.73, "T11_C": 1.744, "T12_C": 2.09, "T13_C": 1.704, "T14_C": 2.145, "T180_C": 2.22, "T181_C": 1.66}
[2025-08-23 22:13:23] Genoa vs Lecce - C Values: {"T1_C": 2.064, "T2_C": 3.125, "T3_C": 4.02, "T4_C": 1.26, "T5_C": 1.384, "T6_C": 1.775, "T7_C": 1.464, "T8_C": 2.704, "T9_C": 2.11, "T10_C": 1.73, "T11_C": 1.744, "T12_C": 2.09, "T13_C": 1.77, "T14_C": 2.05, "T180_C": 2.22, "T181_C": 1.66}
