[2025-08-23 22:11:38] Sassuolo vs Napoli - C Values: {"T1_C": 5.85, "T2_C": 3.54, "T3_C": 1.664, "T4_C": 2.225, "T5_C": 1.315, "T6_C": 1.152, "T7_C": 1.64, "T8_C": 2.26, "T9_C": 1.7, "T10_C": 2.152, "T11_C": 1.735, "T12_C": 2.1, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 2.064, "T181_C": 1.76}
[2025-08-23 22:11:51] Sassuolo vs Napoli - C Values: {"T1_C": 5.75, "T2_C": 3.46, "T3_C": 1.69, "T4_C": 2.18, "T5_C": 1.325, "T6_C": 1.16, "T7_C": 1.64, "T8_C": 2.26, "T9_C": 1.7, "T10_C": 2.152, "T11_C": 1.735, "T12_C": 2.1, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 2.064, "T181_C": 1.76}
[2025-08-23 22:12:08] Sassuolo vs Napoli - C Values: {"T1_C": 5.75, "T2_C": 3.46, "T3_C": 1.69, "T4_C": 2.18, "T5_C": 1.325, "T6_C": 1.16, "T7_C": 1.64, "T8_C": 2.26, "T9_C": 1.715, "T10_C": 2.13, "T11_C": 1.735, "T12_C": 2.1, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 2.064, "T181_C": 1.76}
[2025-08-23 22:12:20] Sassuolo vs Napoli - C Values: {"T1_C": 5.85, "T2_C": 3.54, "T3_C": 1.664, "T4_C": 2.225, "T5_C": 1.315, "T6_C": 1.152, "T7_C": 1.64, "T8_C": 2.26, "T9_C": 1.715, "T10_C": 2.13, "T11_C": 1.8, "T12_C": 2.008, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 2.16, "T181_C": 1.696}
[2025-08-23 22:13:11] Sassuolo vs Napoli - C Values: {"T1_C": 5.85, "T2_C": 3.54, "T3_C": 1.664, "T4_C": 2.225, "T5_C": 1.315, "T6_C": 1.152, "T7_C": 1.664, "T8_C": 2.21, "T9_C": 1.7, "T10_C": 2.152, "T11_C": 1.8, "T12_C": 2.008, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 2.064, "T181_C": 1.76}
[2025-08-23 22:13:23] Sassuolo vs Napoli - C Values: {"T1_C": 5.85, "T2_C": 3.54, "T3_C": 1.664, "T4_C": 2.225, "T5_C": 1.315, "T6_C": 1.152, "T7_C": 1.64, "T8_C": 2.26, "T9_C": 1.715, "T10_C": 2.13, "T11_C": 1.8, "T12_C": 2.008, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 2.16, "T181_C": 1.696}
[2025-08-23 22:13:29] Sassuolo vs Napoli - C Values: {"T1_C": 5.85, "T2_C": 3.54, "T3_C": 1.664, "T4_C": 2.225, "T5_C": 1.315, "T6_C": 1.152, "T7_C": 1.696, "T8_C": 2.16, "T9_C": 1.715, "T10_C": 2.13, "T11_C": 1.8, "T12_C": 2.008, "T13_C": 1.864, "T14_C": 1.936, "T180_C": 2.16, "T181_C": 1.696}
[2025-08-23 22:13:54] Sassuolo vs Napoli - C Values: {"T1_C": 6.3, "T2_C": 3.48, "T3_C": 1.645, "T4_C": 2.26, "T5_C": 1.32, "T6_C": 1.14, "T7_C": 1.696, "T8_C": 2.16, "T9_C": 1.735, "T10_C": 2.1, "T11_C": 1.855, "T12_C": 1.945, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 2.16, "T181_C": 1.696}
[2025-08-23 22:14:25] Sassuolo vs Napoli - C Values: {"T1_C": 6.3, "T2_C": 3.48, "T3_C": 1.645, "T4_C": 2.26, "T5_C": 1.32, "T6_C": 1.14, "T7_C": 1.696, "T8_C": 2.16, "T9_C": 1.735, "T10_C": 2.1, "T11_C": 1.855, "T12_C": 1.945, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 2.22, "T181_C": 1.66}
[2025-08-23 22:15:09] Sassuolo vs Napoli - C Values: {"T1_C": 6.35, "T2_C": 3.42, "T3_C": 1.656, "T4_C": 2.24, "T5_C": 1.335, "T6_C": 1.136, "T7_C": 1.664, "T8_C": 2.21, "T9_C": 1.75, "T10_C": 2.075, "T11_C": 1.855, "T12_C": 1.945, "T13_C": 1.95, "T14_C": 1.85, "T180_C": 2.22, "T181_C": 1.66}
